ÆÚ¿¯Ãû³Æ	2025 	2024 	2023 	2022 	2021 	2020 	2019 	2018 					
CA-A CANCER JOURNAL FOR CLINICIANS	232.4	503.1 	254.7 	286.1 	508.7 	292.3 	223.7 	244.6 					
NATURE REVIEWS MICROBIOLOGY	103.3	69.2 	88.1 	78.3 	60.6 	34.2 	34.6 	31.9 					
NATURE REVIEWS DRUG DISCOVERY	101.8	122.7 	120.1 	112.3	84.7 	64.8 	57.6 	50.2 					
NATURE REVIEWS MOLECULAR CELL BIOLOGY	90.2	81.3 	112.7 	113.9 	94.4 	55.5 	43.4 	35.6 					
Kidney International Supplements	89.6	19.3 	5.5 	6.1 	10.5 	12.8 	5.8 	3.4 					
LANCET	88.5	98.4 	168.9 	202.7 	79.3 	60.4 	59.1 	53.3 					
Nature Reviews Materials	86.2	79.8 	83.5 	76.7 	66.3 	71.2 	74.4 	51.9 					
Nature Reviews Clinical Oncology	82.2	81.1 	78.8 	65.0 	66.7 	53.3 	34.1 	24.7 					
NEW ENGLAND JOURNAL OF MEDICINE	78.5	96.2 	158.5 	176.1 	91.2 	74.7 	70.7 	79.3 					
Nature Reviews Earth & Environment	71.5	49.7 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A					
NATURE REVIEWS CANCER	66.8	72.5 	78.5 	69.8 	60.7 	53.0 	51.8 	42.8 					
World Psychiatry	65.8	60.5 	73.3 	79.7 	49.5 	40.6 	34.0 	30.0 					
ANNALS OF ONCOLOGY	65.4	56.7 	50.5 	51.8 	33.0 	18.3 	14.2 	13.9 					
Living Reviews in Relativity	62.5	26.3 	40.6 	42.9 	40.4 	35.4 	27.8 	23.3 					
NATURE REVIEWS IMMUNOLOGY	60.9	67.7 	100.3 	108.6 	53.1 	40.4 	44.0 	42.0 					
Nature Reviews Disease Primers	60.6	76.9 	81.5 	65.0 	52.3 	40.7 	32.3 	16.1 					
MMWR Recommendations and Reports	60.1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A					
Nature Energy	60.1	49.7 	56.7 	67.4 	60.9 	46.5 	54.0 	46.9 					
Nature Reviews Methods Primers	56.0	50.1 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A					
CHEMICAL REVIEWS	55.8	51.4 	62.1 	72.1 	60.6 	52.8 	54.3 	52.6 					
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	55.0	63.1 	120.7 	157.3 	56.3 	45.5 	51.3 	47.7 					
Signal Transduction and Targeted Therapy	52.7	40.8 	39.3 	38.1 	18.2 	13.5 	5.9 	Not Available					
NATURE REVIEWS GENETICS	52.0	39.1 	42.7 	59.6 	53.2 	33.1 	43.7 	41.5 					
Nature Reviews Chemistry	51.7	38.1 	36.3 	34.6 	34.0 	35.0 	30.6 	Not Available					
Nature Reviews Gastroenterology & Hepatology	51.0	45.9 	65.1 	73.1 	46.8 	29.8 	23.6 	17.0 					
NATURE MEDICINE	50.0	58.7 	82.9 	87.2 	53.4 	36.1 	30.6 	32.6 					
MMWR Surveillance Summaries	49.8	37.3 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A					
NATURE	48.5	50.5 	64.8 	69.5 	50.0 	42.8 	43.1 	41.6 					
IEEE Communications Surveys and Tutorials	46.7	34.4 	35.6 	33.8 	25.2 	23.7 	23.0 	20.2 					
SCIENCE	45.8	44.7 	56.9 	63.7 	47.7 	41.8 	41.0 	41.1 					
LANCET NEUROLOGY	45.5	46.5 	48.0 	59.9 	44.2 	30.0 	28.8 	27.1 					
REVIEWS OF MODERN PHYSICS	44.8	45.9 	44.1 	50.5 	54.5 	45.0 	38.3 	36.4 					
Nature Catalysis	44.6	42.8 	37.8 	40.7 	41.8 	30.5 	Not Available	Not Available					
CANCER CELL	44.5	48.8 	50.3 	38.6 	31.7 	26.6 	23.9 	22.8 					
Nature Reviews Cardiology	44.2	41.7 	49.6 	49.4 	32.4 	20.3 	17.4 	15.2 					
BMJ-British Medical Journal	42.7	93.6 	105.7 	93.3 	39.9 	30.2 	27.6 	23.3 					
CELL	42.5	45.5 	64.5 	66.9 	41.6 	38.6 	36.2 	31.4 					
JOURNAL OF CLINICAL ONCOLOGY	41.9	42.1 	45.3 	50.7 	44.5 	33.0 	28.2 	26.3 					
Lancet Diabetes & Endocrinology	41.8	44.0 	44.5 	44.9 	32.1 	25.3 	24.5 	19.3 					
NATURE BIOTECHNOLOGY	41.7	33.1 	46.9 	68.2 	54.9 	36.6 	31.9 	35.7 					
Nature Electronics	40.9	33.7 	34.3 	33.3 	33.7 	27.5 	Not Available	Not Available					
Journal of Hematology & Oncology	40.4	29.5 	28.5 	23.2 	17.4 	11.1 	8.7 	7.3 					
